"logFC"	"logCPM"	"PValue"	"FDR"
"ENSG00000198848.12"	6.6384903415466	4.19116987994371	8.45847111420888e-10	2.19425214024037e-07
"ENSG00000117791.15"	5.92491883283873	3.88988186827163	9.00029550722191e-10	2.32409924306442e-07
"ENSG00000108924.13"	9.18470546827335	3.79446419453184	9.07594551804187e-10	2.33293242487274e-07
"ENSG00000120915.13"	5.38104829809989	4.61364460233777	9.21748053296269e-10	2.35854378019122e-07
"ENSG00000104760.16"	5.05095740436948	10.6684233862394	9.84125104361115e-10	2.50675812216291e-07
"ENSG00000111348.8"	-4.35593709219596	6.0913313198248	1.02638408382689e-09	2.60262338877779e-07
"ENSG00000108176.14"	4.6982451355444	5.61786873099584	1.04530792023833e-09	2.63872281407965e-07
"ENSG00000164124.10"	-6.10387701571888	4.31747388921961	1.21907772120046e-09	3.06364027497935e-07
"ENSG00000251095.6"	-5.6430149266474	5.08083954320114	1.23056579694607e-09	3.07876624033266e-07
"ENSG00000138109.9"	10.1907938274106	9.35508589949576	1.25114089354367e-09	3.11639266903778e-07
"ENSG00000108821.13"	-6.65646321943694	4.00143388350421	1.31430957957427e-09	3.25931406004294e-07
"ENSG00000139508.14"	7.13472502199092	3.78694004752187	1.41448733973574e-09	3.49235683402386e-07
"ENSG00000111913.17"	-6.61160286594704	4.81764817169667	1.44358420058634e-09	3.54863255037583e-07
"ENSG00000256229.7"	-5.85924635874842	4.09638966557179	1.45807162887441e-09	3.56866200887944e-07
"ENSG00000187134.13"	5.03251830843915	6.32067926999582	1.48881355273417e-09	3.62812906164782e-07
"ENSG00000197408.8"	9.03950174284292	5.6380134416018	1.58941732960463e-09	3.85659783342386e-07
"ENSG00000112293.14"	9.90773262803676	4.49881051500225	1.67733791837734e-09	4.05246280855002e-07
"ENSG00000108950.11"	6.97192041392517	3.63127734327522	1.73738733541884e-09	4.17960449883473e-07
"ENSG00000119138.4"	6.77148425230161	3.49772494002977	1.7873658444556e-09	4.28153980774208e-07
"ENSG00000181019.12"	-5.68178935465116	6.71878049973605	1.87313307195409e-09	4.46797796692845e-07
"ENSG00000105697.7"	7.10250711924606	7.16477871923763	1.89691872150236e-09	4.50562217677352e-07
"ENSG00000112964.13"	6.88243768419902	6.58759856366384	2.42263641757665e-09	5.73014587624547e-07
"ENSG00000198467.13"	-6.35515642789636	4.56386645366757	2.51559288090916e-09	5.92511590146526e-07
"ENSG00000235162.8"	-4.38160793971662	4.98212995305513	2.55914945631146e-09	6.00259168100587e-07
"ENSG00000162614.18"	-5.00661850227788	5.44946496953685	2.70463497336567e-09	6.3175110604014e-07
"ENSG00000237767.1"	8.9118223017267	3.53130544553157	2.75076141002964e-09	6.39870297747101e-07
"ENSG00000176928.5"	-6.72593838981584	4.0655084104198	2.85543328726983e-09	6.61485210042308e-07
"ENSG00000184232.8"	4.18861539946693	4.97762652672362	2.98266850753271e-09	6.88128517600568e-07
"ENSG00000139547.7"	9.37725667119403	5.96944027799928	3.07394564473021e-09	7.06292335423665e-07
"ENSG00000080618.13"	6.6677139897195	9.50448253844512	3.29045038490008e-09	7.52964729744636e-07
"ENSG00000117009.11"	6.5379118498071	4.52425670591032	3.33633121391073e-09	7.60372846253752e-07
"ENSG00000084674.14"	4.96911649234594	10.1240065698497	3.38010735829655e-09	7.67243481937853e-07
"ENSG00000000971.15"	5.05160414895972	9.7314035786892	3.45782123155399e-09	7.81731448144051e-07
"ENSG00000176974.19"	4.31223314044204	4.92812383557021	3.5593696171381e-09	8.01470375430221e-07
"ENSG00000243818.4"	7.10699192716541	3.81893990073709	3.58885001684234e-09	8.04888980072136e-07
"ENSG00000140297.12"	-9.07437909020718	3.74619474184531	3.63667402763265e-09	8.12378139037797e-07
"ENSG00000095585.16"	8.71220014683531	3.34094841119664	3.99979522714569e-09	8.89962342773566e-07
"ENSG00000134716.9"	7.97489757404526	6.56435909956656	4.05979702884729e-09	8.99756512381499e-07
"ENSG00000140526.17"	4.25102978524643	5.05310386336905	4.13106318771109e-09	9.11960549120865e-07
"ENSG00000171759.9"	5.72222466964671	6.98891384776427	4.17014610553654e-09	9.1699232312097e-07
"ENSG00000182463.15"	6.10239248514118	4.4559927203394	4.25324023269537e-09	9.31625106689185e-07
"ENSG00000198610.10"	10.9632979605882	8.42466668154082	4.7928024718361e-09	1.04574119979484e-06
"ENSG00000057593.13"	6.63437414914172	3.31234367984134	4.8184811797476e-09	1.04728479170475e-06
"ENSG00000137269.14"	-6.46933697725555	3.83607362542462	5.31381978566169e-09	1.15050329690097e-06
"ENSG00000133835.14"	3.87022615369944	6.39496060689148	6.21584251839465e-09	1.34064529842142e-06
"ENSG00000172482.4"	8.42260400640447	7.51449015798714	6.86264918225268e-09	1.47450042143721e-06
"ENSG00000139055.6"	-6.67426528322595	4.01673785442666	7.21187096909294e-09	1.54364202457471e-06
"ENSG00000044459.14"	5.61683148109742	4.03657903077996	7.26527056200522e-09	1.54918134752636e-06
"ENSG00000187824.8"	5.4559561976903	4.67961251647383	7.664662416379e-09	1.62817676001971e-06
"ENSG00000105825.11"	-8.88832184134006	3.57356812588323	7.80901205224513e-09	1.6526041934475e-06
"ENSG00000116017.10"	-5.44662483652125	4.23211040212016	7.88674044042776e-09	1.66280254536704e-06
"ENSG00000133106.14"	-5.14530506043969	7.18520362759334	8.29306964507965e-09	1.74194690123309e-06
"ENSG00000116882.14"	5.47996058628821	6.06963411412595	8.66468004563256e-09	1.81323730040444e-06
"ENSG00000129538.13"	-4.8160495084697	4.31689451037341	9.25998580158928e-09	1.93063844714395e-06
